graph,threads,N,nnz,iterations,total_time,spmv_time,MTEPS,GFLOPS
graphs/graph1.txt,1,10,85,16,0.000353297,0.000239899,3.84945,0.0076989
graphs/graph1.txt,2,10,85,16,0.000522758,0.000355728,2.60159,0.00520317
graphs/graph1.txt,4,10,85,16,0.00095602,0.000717338,1.42256,0.00284513
graphs/graph1.txt,8,10,85,16,0.0013916,0.0010233,0.977294,0.00195459
graphs/graph2.txt,1,100,992,11,0.000279851,0.000225947,38.9922,0.0779844
graphs/graph2.txt,2,100,992,11,0.00120267,0.00107882,9.07315,0.0181463
graphs/graph2.txt,4,100,992,11,0.00172957,0.00155192,6.3091,0.0126182
graphs/graph2.txt,8,100,992,11,0.00200919,0.00180801,5.43105,0.0108621
graphs/graph3.txt,1,1000,9989,11,0.00188095,0.00179091,58.4167,0.116833
graphs/graph3.txt,2,1000,9989,11,0.00666618,0.00649242,16.4831,0.0329661
graphs/graph3.txt,4,1000,9989,11,0.00523551,0.00505286,20.9873,0.0419745
graphs/graph3.txt,8,1000,9989,11,0.00565752,0.00544247,19.4218,0.0388435
graphs/graph4.txt,1,10000,99989,11,0.00686614,0.00667915,160.189,0.320378
graphs/graph4.txt,2,10000,99989,11,0.0224862,0.0222042,48.9134,0.0978269
graphs/graph4.txt,4,10000,99989,11,0.0179032,0.017634,61.4348,0.12287
graphs/graph4.txt,8,10000,99989,11,0.0123397,0.0120712,89.1335,0.178267
graphs/graph5.txt,1,100000,999992,11,0.0722844,0.0705594,152.176,0.304351
graphs/graph5.txt,2,100000,999992,11,0.126248,0.124916,87.1294,0.174259
graphs/graph5.txt,4,100000,999992,11,0.112793,0.111524,97.5227,0.195045
graphs/graph5.txt,8,100000,999992,11,0.0553866,0.0545365,198.602,0.397205